time,force
31.6,-169.41
31.62,794.66
31.64,826.95
31.66,1803.97
31.68,-107.23
31.7,816.11
31.72,803.31
31.74,809.05
31.76,1736.61
31.78,-79.68
31.8,805.83
31.82,808.54
31.84,807.13
31.86,1595.97
31.88,-39.83
31.9,778.46
31.92,794.69
31.94,818.15
31.96,1475.86
31.98,172.68
32,831.44
32.02,832.35
32.04,822.53
32.06,819.49
32.08,1450.94
32.1,173.87
32.12,790.84
32.14,790.77
32.16,1337.6
32.18,333
32.2,842.25
32.22,840.14
32.24,1408.18
32.26,270.11
32.28,233.01
32.3,2080.6
32.32,237.38
32.34,836.34
32.36,1491.69
32.38,166.91
32.4,834.28
32.42,841.49
32.44,840.29
32.46,1541
32.48,108.57
32.5,818.2
32.52,824.23
32.54,822.3
32.56,1467.94
32.58,134.77
32.6,804.51
32.62,807.75
32.64,810.57
32.66,1346.85
32.68,255.74
32.7,312.97
32.72,1792.04
32.74,313.95
32.76,1216.11
32.78,385.45
32.8,808.66
32.82,808.93
32.84,792.55
32.86,1075.52
32.88,501.78
32.9,800.67
32.92,807.68
32.94,811.4
32.96,811.77
32.98,967.74
33,673.19
33.02,825.82
33.04,822.45
33.06,943.52
33.08,694.32
33.1,831.07
33.12,824.18
33.14,815.69
33.16,820.94
33.18,933.49
33.2,715.83
33.22,816.77
33.24,815.19
33.26,924.95
33.28,737.23
33.3,821.49
33.32,821.02
33.34,820.74
33.36,876.41
33.38,768.23
33.4,823.93
33.42,820.69
33.44,820.11
33.46,853
33.48,795.57
33.5,802.85
33.52,851.94
33.54,815.06
33.56,847.9
33.58,806.55
33.6,820.89
33.62,820.36
33.64,823.38
33.66,830.11
33.68,839.71
33.7,829.71
33.72,824.13
33.74,824.69
33.76,829.08
33.78,825.56
33.8,828.53
33.82,816.52
33.84,833.55
33.86,825.34
33.88,821.8
33.9,837.22
33.92,825.84
33.94,825.94
33.96,821.77
33.98,838.35
34,830.82
34.02,830.49
34.04,826.29
34.06,823.78
34.08,821.8
34.1,831.07
34.12,826.09
34.14,829.41
34.16,827.73
34.18,830.46
34.2,827.47
34.22,828.18
34.24,827.6
34.26,821.62
34.28,834.38
34.3,828.81
34.32,824.74
34.34,825.16
34.36,823.81
34.38,835.79
34.4,828.93
